epochs,val_acc1,val_acc5,val_acc10,val_kendall,time
0,0.00,0.00,0.00,-0.6277,0.2
500,0.9327,0.9449,0.9357,0.8674,0.19
1000,0.9373,0.9469,0.9375,0.8787,0.19
1500,0.9520,0.9475,0.9377,0.8809,0.19
2000,0.9580,0.9471,0.9375,0.8814,0.19
2500,0.9620,0.9467,0.9379,0.8817,0.19
3000,0.9600,0.9471,0.9377,0.8820,0.19
3500,0.9613,0.9471,0.9377,0.8822,0.19
4000,0.9633,0.9473,0.9378,0.8823,0.19
4500,0.9633,0.9468,0.9381,0.8825,0.19
