epochs,val_acc1,val_acc5,val_acc10,val_kendall,time
0,0.946667,0.9164,0.888067,0.655963,0.19
500,0.958,0.930667,0.911467,0.768302,0.19
1000,0.958667,0.929333,0.909533,0.761626,0.19
1500,0.96,0.9284,0.908467,0.767122,0.19
2000,0.96,0.929067,0.911133,0.776095,0.19
2500,0.958667,0.928533,0.91,0.77662,0.19
3000,0.959333,0.925867,0.906333,0.770584,0.19
3500,0.96,0.927067,0.9108,0.782054,0.19
4000,0.958667,0.927467,0.910933,0.78285,0.19
4500,0.959333,0.9268,0.910667,0.790206,0.19
5000,0.962667,0.922267,0.906467,0.78304,0.19
5500,0.962,0.9232,0.910667,0.789719,0.19
6000,0.961333,0.9236,0.910933,0.786249,0.19
6500,0.962,0.925067,0.913267,0.794267,0.19
7000,0.964667,0.923867,0.9122,0.793465,0.19
7500,0.963333,0.925333,0.9126,0.784758,0.19
8000,0.964,0.923867,0.913067,0.784563,0.19
8500,0.963333,0.922933,0.912,0.787457,0.19
9000,0.963333,0.9232,0.912267,0.785243,0.19
9500,0.964,0.923067,0.911933,0.78307,0.19
10000,0.963333,0.923067,0.9122,0.786463,0.19
